"especie"
"Threnetes_niger"
"Anopetia_gounellei"
"Phaethornis_squalidus"
"Phaethornis_idaliae"
"Phaethornis_hispidus"
"Schistes_albogularis"
"Augastes_lumachella"
"Colibri_cyanotus"
"Heliangelus_mavors"
"Heliangelus_clarisse"
"Lophornis_gouldii"
"Lophornis_helenae"
"Phlogophilus_hemileucurus"
"Sappho_sparganurus"
"Oreotrochilus_leucopleurus"
"Oreotrochilus_stolzmanni"
"Oreotrochilus_adela"
"Chalcostigma_heteropogon"
"Metallura_iracunda"
"Haplophaedia_assimilis"
"Eriocnemis_aline"
"Aglaeactis_aliciae"
"Coeligena_inca"
"Urochroa_leucura"
"Sternoclyta_cyanopectus"
"Philodice_mitchellii"
"Chaetocercus_heliodor"
"Chaetocercus_astreans"
"Chaetocercus_berlepschi"
"Calothorax_pulcher"
"Mellisuga_helenae"
"Nesophlox_evelynae"
"Selasphorus_calliope"
"Selasphorus_heloisa"
"Phaeoptila_sordida"
"Riccordia_ricordii"
"Riccordia_bracei"
"Riccordia_swainsonii"
"Riccordia_maugaeus"
"Riccordia_bicolor"
"Cynanthus_auriceps"
"Chlorostilbon_gibsoni"
"Chlorostilbon_russatus"
"Chlorostilbon_stenurus"
"Chlorostilbon_alice"
"Pampa_curvipennis"
"Pampa_pampa"
"Pampa_rufa"
"Anthocephala_berlepschi"
"Microchera_cupreiceps"
"Thaumasius_baeri"
"Thaumasius_taczanowskii"
"Eupetomena_cirrochloris"
"Talaphorus_chlorocercus"
"Leucolia_violiceps"
"Saucerottia_cyanocephala"
"Saucerottia_hoffmanni"
"Saucerottia_castaneiventris"
"Saucerottia_viridigaster"
"Saucerottia_cupreicauda"
"Saucerottia_tobaci"
"Amazilis_amazilia"
"Chrysuronia_coeruleogularis"
"Chrysuronia_grayi"
"Chrysuronia_brevirostris"
"Chrysuronia_leucogaster"
"Chionomesa_fimbriata"
"Chionomesa_lactea"
"Elliotomyia_viridicauda"
"Polyerata_amabilis"
"Polyerata_rosenbergi"
"Chlorestes_cyanus"
