English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-crowned Fairy,Heliothryx barroti,Heliothryx barroti,Heliothryx barroti,Heliothryx barroti,Heliothryx barroti,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliothryx,barroti,5.4800000000000004,,5.46,,5.5,,5.48,,0,1675,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-eared Fairy,Heliothryx auritus,Heliothryx auritus,Heliothryx auritus,Heliothryx auritus,Heliothryx auritus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliothryx,auritus,,,,,4,6.2999999999999998,5.15,,0,400,400,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-tailed Goldenthroat,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi,Polytmus guainumbi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Polytmus,guainumbi,4.5999999999999996,5,,,4,5.2000000000000002,4.70,,0,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tepui Goldenthroat,Polytmus milleri,Polytmus milleri,Polytmus milleri,Polytmus milleri,Polytmus milleri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Polytmus,milleri,4.0999999999999996,5,4.5,6.0999999999999996,4.0999999999999996,,4.76,,1300,900,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-tailed Goldenthroat,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae,Polytmus theresiae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Polytmus,theresiae,3.6000000000000001,,3.5,,3,4.2000000000000002,3.58,,100,200,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery-tailed Awlbill,Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris,Avocettula recurvirostris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Avocettula,recurvirostris,,,4.2000000000000002,,4.2999999999999998,,4.25,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby-topaz Hummingbird,Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus,Chrysolampis mosquitus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Chrysolampis,mosquitus,,,,,2.5,5,3.75,,0,1700,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaican Mango,Anthracothorax mango,Anthracothorax mango,Anthracothorax mango,Anthracothorax mango,Anthracothorax mango,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,mango,,,,,8.3000000000000007,9.0999999999999996,8.70,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-throated Mango,Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula,Anthracothorax viridigula,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,viridigula,6,,7.5,8.5,7.5,9,7.70,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-breasted Mango,Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii,Anthracothorax prevostii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,prevostii,5.7000000000000002,7.2000000000000002,5.7999999999999998,7.5,5.7000000000000002,7,6.48,,0,300,300,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veraguas Mango,Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis,Anthracothorax veraguensis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,veraguensis,,,,,7,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Mango,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Anthracothorax nigricollis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,nigricollis,6,9,5.5,9,6,8.5,7.33,,0,1000,1000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispaniolan Mango,Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus,Anthracothorax dominicus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,dominicus,4,7,6,8.1999999999999993,4.4000000000000004,8.1999999999999993,6.30,,0,2600,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rican Mango,Anthracothorax aurulentus,Anthracothorax aurulentus,Anthracothorax aurulentus,Anthracothorax aurulentus,Anthracothorax aurulentus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,aurulentus,4,6.4000000000000004,4.7999999999999998,7.2000000000000002,,,5.60,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Mango,Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis,Anthracothorax viridis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anthracothorax,viridis,6.7999999999999998,,,,6,7.7999999999999998,6.87,0,800,400,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-throated Carib,Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus,Eulampis holosericeus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eulampis,holosericeus,5.5999999999999996,7.7999999999999998,5,5.5,4.7000000000000002,6.9000000000000004,5.92,,0,1000,1000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-throated Carib,Eulampis jugularis,Eulampis jugularis,Eulampis jugularis,Eulampis jugularis,Eulampis jugularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Eulampis,jugularis,7.7999999999999998,10,9.1999999999999993,9.4000000000000004,7.5,12,9.32,,70,1130,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange-throated Sunangel,Heliangelus mavors,Heliangelus mavors,Heliangelus mavors,Heliangelus mavors,Heliangelus mavors,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,mavors,,,,,3.8999999999999999,4.4000000000000004,4.15,,2000,1200,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amethyst-throated Sunangel,Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis,Heliangelus amethysticollis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,amethysticollis,4.7999999999999998,6,5,5.2999999999999998,3.7999999999999998,7.7000000000000002,5.43,,1800,1400,3200,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longuemare's Sunangel,Heliangelus clarisse,Heliangelus clarisse,Heliangelus clarisse,Heliangelus clarisse,Heliangelus clarisse,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,clarisse,,,,,5,6,5.50,,1800,1800,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merida Sunangel,Heliangelus spencei,Heliangelus spencei,Heliangelus spencei,Heliangelus spencei,Heliangelus spencei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,spencei,,,,,5,,5.00,,2000,1600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgeted Sunangel,Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus,Heliangelus strophianus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,strophianus,,,4.9000000000000004,6,5.2999999999999998,,5.40,,1200,1600,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tourmaline Sunangel,Heliangelus exortis,Heliangelus exortis,Heliangelus exortis,Heliangelus exortis,Heliangelus exortis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,exortis,4,5.2000000000000002,3.5,8.5,,,5.30,1500,2300,1100,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Sunangel,Heliangelus micraster,Heliangelus micraster,Heliangelus micraster,Heliangelus micraster,Heliangelus micraster,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,micraster,,,,,3.6000000000000001,4.0999999999999996,3.85,1500,2300,1100,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple-throated Sunangel,Heliangelus viola,Heliangelus viola,Heliangelus viola,Heliangelus viola,Heliangelus viola,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,viola,5.2999999999999998,,,,4.4000000000000004,6.5999999999999996,5.43,,2150,850,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Sunangel,Heliangelus regalis,Heliangelus regalis,Heliangelus regalis,Heliangelus regalis,Heliangelus regalis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Heliangelus,regalis,,,,,3.3999999999999999,4.5,3.95,550,1500,700,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-backed Firecrown,Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes,Sephanoides sephaniodes,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Sephanoides,sephaniodes,4,8.5,4.5999999999999996,9,4.4000000000000004,9,6.58,,0,700,700,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Fernandez Firecrown,Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis,Sephanoides fernandensis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Sephanoides,fernandensis,6,8,9,11,,,8.50,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Thorntail,Discosura conversii,Discosura conversii,Discosura conversii,Discosura conversii,Discosura conversii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Discosura,conversii,,,,,3,,3.00,,60,1090,1150,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wire-crested Thorntail,Discosura popelairii,Discosura popelairii,Discosura popelairii,Discosura popelairii,Discosura popelairii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Discosura,popelairii,,,,,2.5,,2.50,400,500,1000,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-bellied Thorntail,Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi,Discosura langsdorffi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Discosura,langsdorffi,,,,,3.2000000000000002,,3.20,,100,200,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppery Thorntail,Discosura letitiae,Discosura letitiae,Discosura letitiae,Discosura letitiae,Discosura letitiae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Discosura,letitiae,,,,,2.7999999999999998,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racket-tipped Thorntail,Discosura longicaudus,Discosura longicaudus,Discosura longicaudus,Discosura longicaudus,Discosura longicaudus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Discosura,longicaudus,,,,,3,3.7000000000000002,3.35,,0,200,200,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tufted Coquette,Lophornis ornatus,Lophornis ornatus,Lophornis ornatus,Lophornis ornatus,Lophornis ornatus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,ornatus,2.75,,2.25,,2.2999999999999998,,2.43,,500,450,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dot-eared Coquette,Lophornis gouldii,Lophornis gouldii,Lophornis gouldii,Lophornis gouldii,Lophornis gouldii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,gouldii,2.3999999999999999,,,,2.3999999999999999,2.7999999999999998,2.53,,0,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frilled Coquette,Lophornis magnificus,Lophornis magnificus,Lophornis magnificus,Lophornis magnificus,Lophornis magnificus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,magnificus,,,,,2.7000000000000002,,2.70,,0,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-crested Coquette,Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus,Lophornis brachylophus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,brachylophus,,,,,2.7000000000000002,,2.70,,900,900,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-crested Coquette,Lophornis delattrei,Lophornis delattrei,Lophornis delattrei,Lophornis delattrei,Lophornis delattrei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,delattrei,,,,,2.7999999999999998,,2.80,,600,1400,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spangled Coquette,Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus,Lophornis stictolophus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,stictolophus,,,,,2.7000000000000002,,2.70,,0,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festive Coquette,Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus,Lophornis chalybeus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,chalybeus,,,,,3,,3.00,,0,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly Coquette,Lophornis verreauxii,Lophornis verreauxii,Lophornis verreauxii,Lophornis verreauxii,Lophornis verreauxii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,verreauxii,,,,,3,,3.00,,0,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacock Coquette,Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus,Lophornis pavoninus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,pavoninus,,,3,,,,3.00,,500,1500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-crested Coquette,Lophornis helenae,Lophornis helenae,Lophornis helenae,Lophornis helenae,Lophornis helenae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,helenae,,,,,2.6000000000000001,2.7999999999999998,2.70,,100,1400,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-crested Coquette,Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis,Lophornis adorabilis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Lophornis,adorabilis,2.5899999999999999,,,,2.7000000000000002,,2.65,,0,1220,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuadorian Piedtail,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Phlogophilus hemileucurus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phlogophilus,hemileucurus,2.2999999999999998,2.6000000000000001,2,,2.2000000000000002,3.7000000000000002,2.56,,500,700,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peruvian Piedtail,Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti,Phlogophilus harterti,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phlogophilus,harterti,,,,,2.2000000000000002,2.7000000000000002,2.45,750,1000,500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speckled Hummingbird,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Adelomyia melanogenys,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Adelomyia,melanogenys,4.2000000000000002,,4.9000000000000004,,3,5.0999999999999996,4.30,,1000,1500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-tailed Sylph,Aglaiocercus kingii,Aglaiocercus kingii,Aglaiocercus kingii,Aglaiocercus kingii,Aglaiocercus kingii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaiocercus,kingii,4,6,3.5,7.5,,,5.25,,900,2100,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet-tailed Sylph,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,Aglaiocercus coelestis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaiocercus,coelestis,4,6.2000000000000002,5,7.9000000000000004,4.5999999999999996,5.2000000000000002,5.48,,1000,1000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan Sylph,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Aglaiocercus berlepschi,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Aglaiocercus,berlepschi,4.5,,5.5,,,,5.00,,1450,350,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-tailed Comet,Sappho sparganurus,Sappho sparganurus,Sappho sparganurus,Sappho sparganurus,Sappho sparganurus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Sappho,sparganurus,5.9000000000000004,,5.2000000000000002,,4.2000000000000002,6.2999999999999998,5.40,400,2000,2200,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze-tailed Comet,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli,Polyonymus caroli,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Polyonymus,caroli,5,5.5999999999999996,5.0999999999999996,,4.7999999999999998,,5.12,,2100,1300,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey-bellied Comet,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Taphrolesbia griseiventris,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Taphrolesbia,griseiventris,,,,,8.9399999999999995,,8.94,,2600,900,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andean Hillstar,Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella,Oreotrochilus estella,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,estella,8,,8.8000000000000007,,8.0999999999999996,,8.30,2400,3500,1000,4500,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-sided Hillstar,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Oreotrochilus leucopleurus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,leucopleurus,,,,,4.7999999999999998,8.4000000000000004,6.60,600,1200,2800,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuadorian Hillstar,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Oreotrochilus chimborazo,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,chimborazo,7,8.5,8.1999999999999993,10.4,7.7999999999999998,8.4000000000000004,8.38,,3500,1700,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-throated Hillstar,Oreotrochilus cyanolaemus,Oreotrochilus cyanolaemus,Oreotrochilus cyanolaemus,Oreotrochilus cyanolaemus,Oreotrochilus cyanolaemus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,cyanolaemus,,,7,8.1999999999999993,,,7.60,,3325,355,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green-headed Hillstar,Oreotrochilus stolzmanni,Oreotrochilus stolzmanni,Oreotrochilus stolzmanni,Oreotrochilus stolzmanni,Oreotrochilus stolzmanni,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,stolzmanni,7,7.7000000000000002,8.4000000000000004,8.6999999999999993,7.9000000000000004,8.4000000000000004,8.02,,3600,600,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-breasted Hillstar,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Oreotrochilus melanogaster,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,melanogaster,4.4000000000000004,,8.6999999999999993,9.5,8.4000000000000004,,7.75,,3500,900,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedge-tailed Hillstar,Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela,Oreotrochilus adela,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Oreotrochilus,adela,,,,,7.4000000000000004,8.3000000000000007,7.85,,2600,1400,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
