English Name (BirdLife > IOC > Clements>AviList),Latin (BirdLife > IOC > Clements>AviList),HBW/BirdLife International (v9.1),IOC World Bird List (v15.1),eBird/Clements (V2024b),AviList v1 2025,Order,Family IOC 15.1,Family Clements v2024b,Family HBW/BirdLife v9.1 (2024),Family AviList v1 2025,Genus,Species,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad-tipped Hermit,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Anopetia gounellei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Anopetia,gounellei,,,3,3,2.6000000000000001,3.3999999999999999,3.00,0,40,1150,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusky-throated Hermit,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Phaethornis squalidus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,squalidus,,,,,2.5,3.5,3.00,,0,2250,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streak-throated Hermit,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Phaethornis rupurumii,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,rupurumii,,,,,2.5,3.7000000000000002,3.10,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hermit,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Phaethornis longuemareus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,longuemareus,3,,3,3.5,2.5,4.5,3.30,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapajos Hermit,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Phaethornis aethopygus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,aethopygus,,,,,3,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minute Hermit,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Phaethornis idaliae,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,idaliae,,,,,1.8,2.7000000000000002,2.25,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon-throated Hermit,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Phaethornis nattereri,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,nattereri,,,,,2.5,3.1000000000000001,2.80,,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-throated Hermit,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Phaethornis atrimentalis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,atrimentalis,,,,,2.6000000000000001,3,2.80,,0,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stripe-throated Hermit,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Phaethornis striigularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,striigularis,2,3.2000000000000002,2,3,3,,2.64,,0,1500,1500,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey-chinned Hermit,Phaethornis griseogularis,Phaethornis griseogularis,Phaethornis griseogularis,Phaethornis griseogularis,Phaethornis griseogularis,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,griseogularis,1.8999999999999999,3,1.8,2.5,2.2999999999999998,3,2.42,300,600,1200,1800,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reddish Hermit,Phaethornis ruber,Phaethornis ruber,Phaethornis ruber,Phaethornis ruber,Phaethornis ruber,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,ruber,,,,,1.8,3,2.40,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-browed Hermit,Phaethornis stuarti,Phaethornis stuarti,Phaethornis stuarti,Phaethornis stuarti,Phaethornis stuarti,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,stuarti,2,3,2,2.5,2.8999999999999999,,2.48,,500,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff-bellied Hermit,Phaethornis subochraceus,Phaethornis subochraceus,Phaethornis subochraceus,Phaethornis subochraceus,Phaethornis subochraceus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,subochraceus,,,,,3.5,4.5,4.00,,150,650,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sooty-capped Hermit,Phaethornis augusti,Phaethornis augusti,Phaethornis augusti,Phaethornis augusti,Phaethornis augusti,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,augusti,4,5,4.5,6,4,6,4.92,,500,3000,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planalto Hermit,Phaethornis pretrei,Phaethornis pretrei,Phaethornis pretrei,Phaethornis pretrei,Phaethornis pretrei,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,pretrei,3,5,4.5,7,5.5999999999999996,,5.02,,400,1700,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale-throated Hermit,Phaethornis eurynome,Phaethornis eurynome,Phaethornis eurynome,Phaethornis eurynome,Phaethornis eurynome,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,eurynome,4,5,4.5,6,5.2999999999999998,,4.96,,100,2150,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale-bellied Hermit,Phaethornis anthophilus,Phaethornis anthophilus,Phaethornis anthophilus,Phaethornis anthophilus,Phaethornis anthophilus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,anthophilus,4,5,4.5,5.5,4,8,5.17,,0,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-bearded Hermit,Phaethornis hispidus,Phaethornis hispidus,Phaethornis hispidus,Phaethornis hispidus,Phaethornis hispidus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,hispidus,4.9000000000000004,5,,,4,6,4.97,,L,NA,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-whiskered Hermit,Phaethornis yaruqui,Phaethornis yaruqui,Phaethornis yaruqui,Phaethornis yaruqui,Phaethornis yaruqui,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,yaruqui,4,6.5,4,7,4,7,5.42,,0,1200,1200,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Hermit,Phaethornis guy,Phaethornis guy,Phaethornis guy,Phaethornis guy,Phaethornis guy,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,guy,4,5.5,4.5,5.5,5,8,5.42,,300,1700,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawny-bellied Hermit,Phaethornis syrmatophorus,Phaethornis syrmatophorus,Phaethornis syrmatophorus,Phaethornis syrmatophorus,Phaethornis syrmatophorus,Caprimulgiformes,Trochilidae,Trochilidae,Trochilidae,Trochilidae,Phaethornis,syrmatophorus,,,,,4.2999999999999998,10.4,7.35,750,1000,1300,2300,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
