"arbol_id","modelo_ganador","aic_browniano","aic_ou","intercepto","estimado","error_estandar","ic_inferior","ic_superior","valor_p"
"tree_1209","OU (corMartins)",-145.530709724404,-187.427996168328,1.61587639031225,0.0406605338772061,0.00966353620699357,0.0217203509481999,0.0596007168062123,3.56043930452501e-05
"tree_6081","OU (corMartins)",-161.469338050613,-198.291910781039,1.65381164419687,0.0270549599123124,0.0104073525418256,0.00665692375592275,0.047452996068702,0.00986881790645334
"tree_6497","OU (corMartins)",-185.303887302948,-219.328098465046,1.66911029843269,0.0253490158709156,0.00855114838165366,0.00858907301641646,0.0421089587254147,0.00331534878554699
"tree_7004","OU (corMartins)",585.802549448864,-81.5533885531737,1.53752631944493,0.0498735438917774,0.0109311610163447,0.0284488619905336,0.0712982257930212,7.8097510971923e-06
"tree_4107","OU (corMartins)",6.38344348600242,-117.455239411768,1.5807843088687,0.0456845382012152,0.00832758196120765,0.0293627774789428,0.0620062989234876,9.77950349137588e-08
"tree_2276","OU (corMartins)",216.215151560077,-82.233337645412,1.53479429684603,0.0516057635017966,0.0109951056307961,0.0300557524592228,0.0731557745443704,4.35529443725693e-06
"tree_2824","OU (corMartins)",-58.5389019637825,-135.358906883207,1.62626633923328,0.0301046607661449,0.0113681416038495,0.00782351265144848,0.0523858088808413,0.00858984410365982
"tree_1014","OU (corMartins)",73.1654826370401,-93.4294712599337,1.54554687791026,0.0510206901259674,0.011104718623146,0.02925584156615,0.0727855386857848,6.77971410728231e-06
"tree_3632","OU (corMartins)",-155.500223753566,-189.014127863015,1.67204461073162,0.0174813930495489,0.00544463593939583,0.00681010269940072,0.0281526833996972,0.00149105301266012
"tree_1772","OU (corMartins)",-181.383795394756,-211.320572888393,1.64783970125151,0.0307465803535181,0.0101178607084138,0.0109159377644341,0.0505772229426022,0.00261791795922809
"tree_0301","Browniano (corBrownian) -- OU no convergio",524.082197204879,NA,1.1560194097287,0.347724731737772,0.0236716087027335,0.30132923122429,0.394120232251255,6.03151571809786e-36
"tree_7971","OU (corMartins)",-65.1183638717906,-144.392604149882,1.62321224227545,0.0331985136904456,0.0111561887698164,0.0113327854968753,0.0550642418840159,0.00319858718980506
"tree_5672","OU (corMartins)",-84.948908548684,-158.963182950518,1.58141491577375,0.0555592934650354,0.0093056903474395,0.0373204755327719,0.0737981113972988,7.76203164164065e-09
"tree_1136","OU (corMartins)",317.476722351181,-81.2196770894769,1.53642175263884,0.0501843525138159,0.0109433531386858,0.0287357744918884,0.0716329305357433,7.04532299175428e-06
"tree_7383","OU (corMartins)",-199.71061893196,-226.974322445955,1.64807033457366,0.0358699439044282,0.00887338892067297,0.0184784211990925,0.053261466609764,6.98121303619372e-05
"tree_5086","OU (corMartins)",-105.262460616072,-165.349757330123,1.65507253904827,0.0243035267380685,0.00849187454627622,0.00765975846613469,0.0409472950100023,0.00455405087950209
"tree_6014","OU (corMartins)",-63.156694281931,-148.826451672241,1.58689264322438,0.0481382724721449,0.0111903681432177,0.0262055539376938,0.0700709910065959,2.40320045655387e-05
"tree_8315","OU (corMartins)",-66.7765647215878,-139.650862753629,1.68035655423522,0.00866349567313993,0.00787595718170519,-0.00677309674678183,0.0241000880930617,0.27235663178713
"tree_2755","OU (corMartins)",-69.9817551815401,-145.00270349422,1.62361235194049,0.0319751517206917,0.00936311717328447,0.0136237792780257,0.0503265241633578,0.000740219500201573
"tree_1801","OU (corMartins)",-32.7230353211351,-133.298950641276,1.58212795524491,0.0472694543196679,0.0116160347693243,0.0245024445286274,0.0700364641107085,6.26505828635178e-05
"tree_8911","OU (corMartins)",-105.858928979587,-179.022793824469,1.61627256326319,0.0397009434803826,0.0102755826240444,0.01956117161709,0.0598407153436751,0.00014125265065755
"tree_3177","OU (corMartins)",-37.8957544146637,-129.053277865371,1.6481441422315,0.0204643832825467,0.00931727837337272,0.00220285323680222,0.0387259133282912,0.0289505615169917
"tree_4837","OU (corMartins)",-118.608740526685,-171.885830933339,1.66871284820985,0.0165111354661179,0.00967126086948846,-0.002444187523171,0.0354664584554068,0.0889763991352022
"tree_2947","OU (corMartins)",-142.894181424315,-187.152622802979,1.61356656448814,0.0418846282396961,0.00806928063211955,0.0260691288195952,0.057700127659797,4.23886051517392e-07
"tree_6042","OU (corMartins)",-146.490975659801,-186.114285230762,1.61492360538343,0.0419108045067541,0.0103829494550876,0.0215605975214825,0.0622610114920256,7.14874570519214e-05
"tree_3581","OU (corMartins)",-76.0254711346064,-151.878150557699,1.6242733677705,0.0337857767418698,0.0100522455594476,0.0140837374815998,0.0534878160021398,0.000893701559567167
"tree_0503","OU (corMartins)",15.9138699025488,-109.58362461402,1.59014613813972,0.0401587124505002,0.00976849473647609,0.021012814583838,0.0593046103171624,5.29143310782036e-05
"tree_1986","OU (corMartins)",-76.6701791504098,-145.881896480653,1.58248101748803,0.0530428872500523,0.010893457565575,0.0316921027544099,0.0743936717456947,1.95083285397852e-06
"tree_4256","Browniano (corBrownian) -- OU no convergio",-22.9986871865739,NA,1.64709308283146,0.0665284192330732,0.011999978405553,0.0430088937429311,0.0900479447232154,7.2764212991739e-08
"tree_5936","OU (corMartins)",-76.2408956476438,-148.39581630224,1.61025616203301,0.0408604686532239,0.0114209829646214,0.0184757533745206,0.0632451839319273,0.000413657510313266
"tree_7588","OU (corMartins)",-63.1583508844183,-149.770021102371,1.58655524881834,0.0500346270395261,0.01060442466398,0.029250336621357,0.0708189174576952,3.89467533549841e-06
"tree_2309","OU (corMartins)",-70.0479288396722,-144.953256471133,1.57987438890468,0.0478972547292379,0.0109362450898956,0.0264626082269395,0.0693319012315363,1.72685471944952e-05
"tree_2740","OU (corMartins)",-155.863043021726,-198.815399483065,1.63928171906846,0.0398063640859183,0.0100653451459042,0.020078650107981,0.0595340780638556,9.89206252593576e-05
"tree_5396","OU (corMartins)",-125.922417402671,-177.891440222179,1.60503986002569,0.0421821262746331,0.0102025661889715,0.022185463994363,0.0621787885549032,4.80992775805347e-05
"tree_5988","OU (corMartins)",-80.6318234455595,-147.576201550676,1.60413918839354,0.0458372493696801,0.010872124305988,0.0245282772945012,0.0671462214448591,3.43853089928779e-05
"tree_6507","OU (corMartins)",38.7657235639441,-98.4811393713381,1.59912939535586,0.035869368353237,0.0111262840733169,0.0140622522877744,0.0576764844186997,0.0014270953331764
"tree_1043","OU (corMartins)",274.749057451774,-81.5002962380348,1.53655973392731,0.0502884447573245,0.0109355243421159,0.0288552108947163,0.0717216786199327,6.65680735172299e-06
"tree_4657","OU (corMartins)",-115.992459528278,-172.810984362219,1.66023376750726,0.0152629250931918,0.00886869456373717,-0.00211939684161926,0.0326452470280028,0.0864470359764714
"tree_3346","Browniano (corBrownian) -- OU no convergio",80.0365215731805,NA,1.49055033088583,0.161575090386479,0.00984776603579175,0.14227382362815,0.180876357144807,5.75022364889288e-42
