equipo;decision;opcion;alternativas;justificacion;momento
barranquilla_equipo01;Fuente de masa corporal;mean (Male MinMass, MaleMaxMass, Female MinMass, Female MaxMass);Average Mass;Para poder tener datos de individuos adultos que ya han cumplido con su desarrollo;antes
barranquilla_equipo01;Transformación de la masa;Logaritmo natural;Sin transformar;;antes
barranquilla_equipo01;Resumen de la altitud;Punto medio de NormMin y NormMax;NormMin sola;;antes
barranquilla_equipo01;Especies con límites codificados como letra;No fue necesario convertir;Convertir;Descartarlas;durante
barranquilla_equipo01;Especies con masa o altitud faltante;Eliminación de especies sin esa información;Imputación por género;No hay información de esas especies para este análisis;antes
barranquilla_equipo01;Árbol filogenético;McGuire et al. 2014;McTavish;;antes
barranquilla_equipo01;Número de árboles;Uno solo;Muestra de 100 árboles de la posterior;El árbol de McGuire es un solo árbol de consenso. Reconocemos que esto ignora la incertidumbre filogenética.;antes
barranquilla_equipo01;Politomías;Resolución al azar con multi2di;Dejarlas;;antes
barranquilla_equipo01;Ramas de longitud cero;Reemplazo por 1e-8;Colapsarlas;;antes
barranquilla_equipo01;Emparejamiento de nombres;Cambiar espacios y puntos por guión bajo y además eliminar números del nombre;Sinonimia manual con la lista del IOC;;antes
barranquilla_equipo01;Modelo;PGLS con lambda de Pagel estimada;PGLS con movimiento browniano;;después
barranquilla_equipo01;Error de medición;No incorporado;Usar la diferencia entre MinMass y MaxMass como varianza intraespecífica;BirdBase no reporta tamaños de muestra por especie, así que no podíamos convertir el rango en un error estándar defendible.;antes
