"especie"
"Glaucis_dohrnii"
"Threnetes_niger"
"Anopetia_gounellei"
"Phaethornis_squalidus"
"Phaethornis_aethopygus"
"Phaethornis_idaliae"
"Phaethornis_stuarti"
"Phaethornis_hispidus"
"Schistes_albogularis"
"Augastes_scutatus"
"Augastes_lumachella"
"Colibri_cyanotus"
"Anthracothorax_aurulentus"
"Heliangelus_mavors"
"Heliangelus_clarisse"
"Heliangelus_spencei"
"Discosura_letitiae"
"Lophornis_ornatus"
"Lophornis_gouldii"
"Lophornis_magnificus"
"Lophornis_brachylophus"
"Lophornis_stictolophus"
"Lophornis_verreauxii"
"Lophornis_helenae"
"Lophornis_adorabilis"
"Phlogophilus_hemileucurus"
"Aglaiocercus_kingii"
"Aglaiocercus_berlepschi"
"Sappho_sparganurus"
"Oreotrochilus_leucopleurus"
"Oreotrochilus_cyanolaemus"
"Oreotrochilus_stolzmanni"
"Oreotrochilus_adela"
"Ramphomicron_dorsale"
"Oxypogon_stuebelii"
"Oxypogon_cyanolaemus"
"Oxypogon_lindenii"
"Chalcostigma_heteropogon"
"Metallura_iracunda"
"Haplophaedia_assimilis"
"Eriocnemis_isabellae"
"Eriocnemis_godini"
"Eriocnemis_mirabilis"
"Eriocnemis_aline"
"Aglaeactis_aliciae"
"Coeligena_conradii"
"Coeligena_inca"
"Coeligena_consita"
"Coeligena_eos"
"Ocreatus_peruanus"
"Ocreatus_addae"
"Urochroa_leucura"
"Sternoclyta_cyanopectus"
"Hylonympha_macrocerca"
"Eugenes_spectabilis"
"Lampornis_cinereicauda"
"Philodice_bryantae"
"Philodice_mitchellii"
"Chaetocercus_heliodor"
"Chaetocercus_astreans"
"Chaetocercus_berlepschi"
"Chaetocercus_jourdanii"
"Doricha_enicura"
"Calothorax_pulcher"
"Mellisuga_helenae"
"Nesophlox_evelynae"
"Nesophlox_lyrura"
"Selasphorus_calliope"
"Selasphorus_heloisa"
"Selasphorus_ellioti"
"Phaeoptila_sordida"
"Riccordia_ricordii"
"Riccordia_bracei"
"Riccordia_swainsonii"
"Riccordia_maugaeus"
"Riccordia_bicolor"
"Cynanthus_lawrencei"
"Cynanthus_doubledayi"
"Cynanthus_auriceps"
"Cynanthus_forficatus"
"Cynanthus_canivetii"
"Chlorostilbon_gibsoni"
"Chlorostilbon_olivaresi"
"Chlorostilbon_russatus"
"Chlorostilbon_stenurus"
"Chlorostilbon_alice"
"Basilinna_leucotis"
"Basilinna_xantusii"
"Pampa_curvipennis"
"Pampa_pampa"
"Pampa_rufa"
"Anthocephala_berlepschi"
"Stephanoxis_loddigesii"
"Campylopterus_calcirupicola"
"Campylopterus_diamantinensis"
"Campylopterus_phainopeplus"
"Microchera_cupreiceps"
"Microchera_chionura"
"Goldmania_bella"
"Eupherusa_ridgwayi"
"Thaumasius_baeri"
"Thaumasius_taczanowskii"
"Eupetomena_cirrochloris"
"Talaphorus_chlorocercus"
"Leucolia_violiceps"
"Leucolia_viridifrons"
"Leucolia_wagneri"
"Saucerottia_cyanocephala"
"Saucerottia_hoffmanni"
"Saucerottia_beryllina"
"Saucerottia_cyanura"
"Saucerottia_edward"
"Saucerottia_saucerottei"
"Amazilia_cyanifrons"
"Saucerottia_castaneiventris"
"Saucerottia_viridigaster"
"Saucerottia_cupreicauda"
"Saucerottia_tobaci"
"Amazilia_luciae"
"Amazilis_amazilia"
"Chrysuronia_goudoti"
"Chrysuronia_versicolor"
"Amazilia_boucardi"
"Chrysuronia_coeruleogularis"
"Chrysuronia_lilliae"
"Chrysuronia_humboldtii"
"Chrysuronia_grayi"
"Chrysuronia_brevirostris"
"Chrysuronia_leucogaster"
"Chionomesa_fimbriata"
"Chionomesa_lactea"
"Elliotomyia_chionogaster"
"Elliotomyia_viridicauda"
"Polyerata_amabilis"
"Polyerata_decora"
"Polyerata_rosenbergi"
"Chlorestes_candida"
"Chlorestes_eliciae"
"Chlorestes_cyanus"
"Chlorestes_julie"
